"Athlete","Year","Time","Meet","Meet Date","Wind","Season","Event","Location","Team"
"Carroll, Michael","SO-2",11.07,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",1.9,"2010","3000S","Outdoor","Stag"
"Carroll, Michael","SO-2",11.23,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1.2,"2010","3000S","Outdoor","Stag"
"Macdonald, Jeff","",11.24,"SCIAC Quad Meet","Apr 17, 2010",-1,"2010","3000S","Outdoor","Stag"
"Carroll, Michael","SO-2",11.24,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",0.5,"2010","3000S","Outdoor","Stag"
"Carroll, Michael","SO-2",11.28,"SCIAC Championships","Apr 30, 2010",0.9,"2010","3000S","Outdoor","Stag"
"Pittman, Ryan","SR-4",11.33,"Claremont Classic Multi","May 13, 2010",1.3,"2010","3000S","Outdoor","Stag"
"Weyerhaeuser, Jake","",11.41,"SCIAC Championships","Apr 30, 2010",0.6,"2010","3000S","Outdoor","Stag"
"Weyerhaeuser, Jake","",11.45,"4 Way Scoring Meet","Feb 20, 2010",1.3,"2010","3000S","Outdoor","Stag"
"Hansen, Kyle","",11.51,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",1.9,"2010","3000S","Outdoor","Stag"
"Hansen, Kyle","",11.51,"Spring Break Classic","Mar 20, 2010",1.3,"2010","3000S","Outdoor","Stag"
"Weyerhaeuser, Jake","",11.53,"SCIAC Quad Meet","Apr 17, 2010",-1,"2010","3000S","Outdoor","Stag"
"Pittman, Ryan","SR-4",11.54,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",-0.7,"2010","3000S","Outdoor","Stag"
"Hansen, Kyle","",11.55,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",1.7,"2010","3000S","Outdoor","Stag"
"Hansen, Kyle","",11.6,"SCIAC Quad Meet","Apr 17, 2010",0.6,"2010","3000S","Outdoor","Stag"
"Hansen, Kyle","",11.6,"SCIAC Championships","Apr 30, 2010",-0.1,"2010","3000S","Outdoor","Stag"
"Blasher, Daniel","FR-1",11.64,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",1,"2010","3000S","Outdoor","Stag"
"Pittman, Ryan","SR-4",11.65,"CSUN Multi's","Mar 18, 2010",-1.2,"2010","3000S","Outdoor","Stag"
"Hansen, Kyle","",11.68,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1.2,"2010","3000S","Outdoor","Stag"
"Pittman, Ryan","SR-4",11.74,"4 Way Scoring Meet","Feb 20, 2010",0.8,"2010","3000S","Outdoor","Stag"
"Blasher, Daniel","FR-1",11.76,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",-0.7,"2010","3000S","Outdoor","Stag"
"Hansen, Kyle","",11.78,"4 Way Scoring Meet","Feb 20, 2010",1.3,"2010","3000S","Outdoor","Stag"
"Grossman, Skyler","FR-1",11.79,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",0.4,"2010","3000S","Outdoor","Stag"
"Grossman, Skyler","FR-1",11.84,"4 Way Scoring Meet","Feb 20, 2010",1.3,"2010","3000S","Outdoor","Stag"
"Soll, Jason","SO-2",11.88,"SCIAC Championships","Apr 30, 2010",-0.1,"2010","3000S","Outdoor","Stag"
"Soll, Jason","SO-2",11.91,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",0,"2010","3000S","Outdoor","Stag"
"Grossman, Skyler","FR-1",11.91,"Rossi Relays","Feb 27, 2010",1.8,"2010","3000S","Outdoor","Stag"
"Soll, Jason","SO-2",11.92,"Spring Break Classic","Mar 20, 2010",1.7,"2010","3000S","Outdoor","Stag"
"Grossman, Skyler","FR-1",11.92,"Spring Break Classic","Mar 20, 2010",1.3,"2010","3000S","Outdoor","Stag"
"Grossman, Skyler","FR-1",11.99,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",-0.7,"2010","3000S","Outdoor","Stag"
"Soll, Jason","SO-2",12.1,"SCIAC Quad Meet","Apr 17, 2010",0.6,"2010","3000S","Outdoor","Stag"
"Soll, Jason","SO-2",12.18,"4 Way Scoring Meet","Feb 20, 2010",0.8,"2010","3000S","Outdoor","Stag"
"Soll, Jason","SO-2",12.28,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",0.4,"2010","3000S","Outdoor","Stag"
"Cheung, Jeremy","SO-2",12.55,"4 Way Scoring Meet","Feb 20, 2010",0.8,"2010","3000S","Outdoor","Stag"
"Honda, Masanori","SR-4",12.56,"SCIAC Quad Meet","Apr 17, 2010",0.8,"2010","3000S","Outdoor","Stag"
"Boone, Ryan","FR-1",12.64,"Rossi Relays","Feb 27, 2010",0.5,"2010","3000S","Outdoor","Stag"
"Cheung, Jeremy","SO-2",12.68,"SCIAC Quad Meet","Apr 17, 2010",0.8,"2010","3000S","Outdoor","Stag"
"Cheung, Jeremy","SO-2",12.82,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",1,"2010","3000S","Outdoor","Stag"
"Cheung, Jeremy","SO-2",13.14,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",0,"2010","3000S","Outdoor","Stag"
