"Athlete","Year","Team","Time","Meet","Meet_Date","Wind","year_name","sex_name","event_name"
"Padron, Jonathan","","Occidental",10.55,"Oxy Invitational","May 7, 2011",1.2,"2011","men","100"
"Hoyes, Oreese","JR-3","Whittier",10.71,"Cal/Nevada Collegiate Championship","Mar 26, 2011",4.4,"2011","men","100"
"Radu, Caius","","Cal Lutheran",10.8,"2011 SCIAC Track & Field Championships","Apr 29, 2011",3.7,"2011","men","100"
"Blanchard, Ross","SR-4","Redlands",10.82,"SCIAC Quad Meet","Apr 16, 2011",1.3,"2011","men","100"
"Fortugno, Marcus","JR-3","La Verne",10.86,"2011 Pomona-Pitzer Invite","Apr 9, 2011",2,"2011","men","100"
"Nakaoka, Richard","JR-3","Redlands",10.96,"Univ. of Redlands SCIAC Quad","Apr 2, 2011",2.1,"2011","men","100"
"Green, Andy","SR-4","Redlands",10.98,"University of Redlands Invitational","Mar 18, 2011",3.3,"2011","men","100"
"Del Rio, Ray","SO-2","La Verne",11.02,"Univ. of Redlands SCIAC Quad","Apr 2, 2011",2.1,"2011","men","100"
"Drake, Seth","FR-1","Redlands",11.05,"Cal State LA Last Chance Qualifier","May 13, 2011",1.6,"2011","men","100"
"Weyerhaeuser, Jake","","Claremont-Mudd-Scripps",11.06,"2011 SCIAC Track & Field Championships","Apr 29, 2011",0.7,"2011","men","100"
"Turner, Paul","SO-2","La Verne",11.06,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",0,"2011","men","100"
"Macdonald, Jeff","","Claremont-Mudd-Scripps",11.07,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",0,"2011","men","100"
"LEWIS, JOHN","JR-3","Pomona-Pitzer",11.1,"Cal/Nevada Collegiate Championship","Mar 26, 2011",3.2,"2011","men","100"
"Watkins, Chancise","FR-1","La Verne",11.14,"2011 Pomona-Pitzer Invite","Apr 9, 2011",1.8,"2011","men","100"
"Garrett, Zach","JR-3","Whittier",11.14,"SCIAC Quad Meet","Apr 16, 2011",1.3,"2011","men","100"
"Williams, Jordan","","Cal Lutheran",11.2,"2011 Pomona-Pitzer Invite","Apr 9, 2011",1,"2011","men","100"
"Tillman, Kimble","SR","Whittier",11.22,"Rossi Relays","Feb 26, 2011",3.2,"2011","men","100"
"Connell, Andrew","SO-2","La Verne",11.25,"University of Redlands Invitational","Mar 18, 2011",1.8,"2011","men","100"
"Usher, Darron","","Redlands",11.25,"Northridge Invitational","Mar 12, 2011",1.6,"2011","men","100"
"Meuser, Matthew","FR-1","Redlands",11.26,"Univ. of Redlands SCIAC Quad","Apr 2, 2011",1.5,"2011","men","100"
